Product Details,ASIN,Brand,Price,Sales,Size,Link,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"($) E&jing USB 3.0 Flash Drive 1TB, Flash Memory Stick 1000GB with Rotated Design, Ultra High Speed Thumb Drive 1TB with Spead up to 100Mb/s, 1000GB USB 3.0 Data Storage Drive for Computer/Laptop",B091YFW22L,E&jing,$38.99 ,n/a,1 tb,https://amzn.to/3gqc2B7,$5.82 ,2,4.3,101,9,5,Sainberg,USB Flash Drives,Small Standard-Size,FBA,3.9x5.3x0.4,0.05,2/21/2021
"($) 1TB USB Flash Drive 3.0, E&jing Flash Memory Stick 1000GB with Rotated Design, Ultra High Speed Thumb Drive 1TB with Spead up to 100Mb/s, 1000GB USB 3.0 Data Storage Drive for Computer/Laptop",B091C5K68J,E&jing,$38.49 ,n/a,1 tb,https://amzn.to/3wrRnSZ,$5.62 ,2,3.7,1438,9,-11,3.0 USB,USB Flash Drives,Small Standard-Size,FBA,3.9x4.4x0.5,0.04,2/21/2021
SamData 32GB USB Flash Drives 2 Pack 32GB Thumb Drives Memory Stick Jump Drive with LED Light for Storage and Backup (2 Colors: Black Blue),B082ZGHXK8,SamData,$11.99 ,n/a,32,https://amzn.to/35nKvKk,$3.46 ,1,4.6,7388,6,496,SamData Official Store,USB Flash Drives,Small Standard-Size,FBA,2.8x4.6x0.5,0.07,12/21/2019
"SAMSUNG BAR Plus 64GB - 300MB/s USB 3.1 Flash Drive, Titan Gray (MUF-64BE4/AM)",B07BPGF6N3,SAMSUNG,$11.87 ,n/a,64,https://amzn.to/2Tr5hpL,$3.65 ,9,4.7,30943,8,"1,184",Amazon,USB Flash Drives,Small Standard-Size,AMZ,4.0x5.6x0.5,0.05,4/30/2018
"E&jing USB 3.0 Flash Drive 1TB, Flash Memory Stick 1000GB with Rotated Design, Ultra High Speed Thumb Drive 1TB with Spead up to 100Mb/s, 1000GB USB 3.0 Data Storage Drive for Computer/Laptop",B091YFW22L,E&jing,$38.99 ,n/a,1 tb,https://amzn.to/3gpY9mv,$5.82 ,2,4.3,101,9,5,Sainberg,USB Flash Drives,Small Standard-Size,FBA,3.9x5.3x0.4,0.05,2/21/2021
"SeeDete 32GB USB Flash Drives, USB Stick, Thumb Drive Rotated Design, Memory Stick with LED Light for External Storage and Backup Data, Jump Drive, 3 Pack 32GB (3 Colors: Black Red Blue )",B08K4FN9L6,SeeDete,$6.49 ,n/a,32,https://amzn.to/3gqceQR,$3.70 ,1,4.6,463,7,81,SeeDete,USB Flash Drives,Small Standard-Size,FBA,2.8x4.5x0.4,0.06,9/26/2020
"SanDisk 128GB Cruzer USB 2.0 Flash Drive - SDCZ36-128G-B35, Black/Red",B00TKFCYP0,SanDisk,$25.86 ,n/a,128,https://amzn.to/3gqqY2o,$4.76 ,8,4.7,37593,4,"1,549",Amazon,USB Flash Drives,Small Standard-Size,FBA,2.9x5.0x0.3,0.02,2/11/2015
"PNY 32GB Turbo Attaché 3 USB 3.0 Flash Drive, 3-Pack",B08HW1RHCH,PNY,$8.99 ,n/a,32,https://amzn.to/2TxphqK,$5.58 ,3,4.6,31130,2,678,Amazon,USB Flash Drives,Large Standard-Size,AMZ,4.2x5.6x0.9,0.13,9/11/2020
"($) Phone Photo Storage 128GB with USB3.0/Micro USB Port WOFICLO External Storage for Pad Compatible Android/Mac/PC (128GB, Pink)",B091Q1F4G5,WOFICLO,$22.99 ,n/a,128,https://amzn.to/3go60kr,$4.45 ,1,4.1,113,7,9,Rasy,USB Flash Drives,Small Standard-Size,FBA,2.8x5.0x0.6,0.04,3/2/2020
SanDisk 128GB Ultra USB 3.0 Flash Drive - SDCZ48-128G-U46,B00P8XQPY4,SanDisk,$18.20 ,n/a,128,https://amzn.to/3xkl4W0,$4.16 ,15,4.7,42939,7,"15,642",Amazon,USB Flash Drives,Small Standard-Size,FBA,3.9x5.9x0.5,0.04,4/1/2014
HP 128GB x900w USB 3.0 Flash Drive,B077BGMX8C,hp,$16.99 ,n/a,128,https://amzn.to/2Txplqu,$4.50 ,1,4.5,189,7,14,Xiao Digital,USB Flash Drives,Small Standard-Size,FBA,5.4x5.7x0.7,0.28,5/22/2019
